City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Golden,US,2022-12-10 04:22:02,39.7555,-105.2211,40.69,35,20,23.02
155,Vanavara,RU,2022-12-10 04:25:12,60.34,102.2797,5.54,93,100,8.46
156,Santa Rosa,PH,2022-12-10 04:25:13,14.3122,121.1114,84.18,80,100,3.0
157,Longyearbyen,SJ,2022-12-10 04:24:59,78.2186,15.6401,17.44,79,0,4.61
158,Arraial Do Cabo,BR,2022-12-10 04:25:13,-22.9661,-42.0278,73.04,91,1,10.45
159,Buin,CL,2022-12-10 04:25:14,-33.7333,-70.75,74.12,61,3,2.35
160,Mahebourg,MU,2022-12-10 04:20:32,-20.4081,57.7,77.29,83,40,14.97
161,Ostrovnoy,RU,2022-12-10 04:25:14,68.0531,39.5131,20.57,89,100,16.8
162,Volchikha,RU,2022-12-10 04:21:18,52.0333,80.3833,-5.82,92,20,10.49
163,Sidi Ali,DZ,2022-12-10 04:25:15,36.0998,0.4206,59.43,78,95,23.96
164,Sao Miguel Do Araguaia,BR,2022-12-10 04:25:16,-13.275,-50.1628,71.04,95,100,9.24
165,Vao,NC,2022-12-10 04:25:16,-22.6667,167.4833,79.66,77,3,9.91
166,Banda Aceh,ID,2022-12-10 04:25:17,5.5577,95.3222,79.09,79,100,8.97
167,Cabo San Lucas,MX,2022-12-10 04:22:38,22.8909,-109.9124,68.61,72,4,5.46
168,Taua,BR,2022-12-10 04:25:18,-5.9667,-40.3,77.16,66,40,12.24
169,Chuy,UY,2022-12-10 04:19:33,-33.6971,-53.4616,72.36,72,100,3.67
170,Lebedyan,RU,2022-12-10 04:25:18,53.0194,39.1664,33.28,96,100,14.43
171,Marystown,CA,2022-12-10 04:25:19,47.1666,-55.1483,38.23,79,92,10.6
172,Coos Bay,US,2022-12-10 04:25:20,43.3665,-124.2179,50.94,96,100,17.27
173,Zhuhai,CN,2022-12-10 04:25:20,22.2769,113.5678,69.85,72,0,18.41
174,Lagoa,PT,2022-12-10 04:25:21,39.05,-27.9833,64.67,90,100,20.13
175,Coihaique,CL,2022-12-10 04:24:35,-45.5752,-72.0662,48.81,87,38,2.3
176,Nikolskoye,RU,2022-12-10 04:25:22,59.7035,30.7861,22.89,97,83,4.12
177,Luau,AO,2022-12-10 04:25:22,-10.7073,22.2247,63.21,96,100,0.69
178,Hithadhoo,MV,2022-12-10 04:19:50,-0.6,73.0833,81.81,76,92,14.72
179,Kalmunai,LK,2022-12-10 04:25:23,7.4167,81.8167,80.49,69,78,2.55
180,Kyle,US,2022-12-10 04:25:24,29.9984,-97.8715,71.42,94,15,11.72
181,Rumoi,JP,2022-12-10 04:25:24,43.9344,141.6428,33.96,87,100,14.07
