City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Ribeira Grande,PT,2022-12-09 18:27:08,38.5167,-28.7,63.0,88,75,31.0,light rain
83,Cabo San Lucas,MX,2022-12-09 18:22:19,22.8909,-109.9124,79.61,64,0,3.44,clear sky
84,Nikolskoye,RU,2022-12-09 18:27:09,59.7035,30.7861,30.09,95,99,7.74,light snow
85,Olafsvik,IS,2022-12-09 18:18:57,64.8945,-23.7142,34.45,71,66,17.52,broken clouds
86,Atuona,PF,2022-12-09 18:27:09,-9.8,-139.0333,76.14,76,95,8.68,light rain
87,New Norfolk,AU,2022-12-09 18:27:10,-42.7826,147.0587,51.3,69,80,2.26,broken clouds
88,Isla Mujeres,MX,2022-12-09 18:27:10,21.2311,-86.731,82.45,61,3,12.84,clear sky
89,Vila Velha,BR,2022-12-09 18:27:11,-20.3297,-40.2925,85.95,81,20,8.05,few clouds
90,Port Elizabeth,ZA,2022-12-09 18:22:58,-33.918,25.5701,77.09,91,75,27.63,broken clouds
91,Hambantota,LK,2022-12-09 18:27:11,6.1241,81.1185,76.8,85,100,12.35,moderate rain
92,Rikitea,PF,2022-12-09 18:27:12,-23.1203,-134.9692,75.63,80,8,14.14,clear sky
93,Goure,NE,2022-12-09 18:28:12,13.9835,10.2704,71.35,11,0,9.71,clear sky
94,Dolgorukovo,RU,2022-12-09 18:28:13,52.3195,38.3453,31.73,96,100,15.43,snow
95,Tessalit,ML,2022-12-09 18:28:13,20.1986,1.0114,77.9,12,0,10.96,clear sky
96,Victoria,HK,2022-12-09 18:24:26,22.2855,114.1577,64.26,77,3,1.01,clear sky
97,Nzega,RW,2022-12-09 18:28:14,-2.479,29.5564,57.31,96,93,2.13,light rain
98,Bluff,NZ,2022-12-09 18:28:14,-46.6,168.3333,52.59,92,70,2.71,broken clouds
99,Kostolac,RS,2022-12-09 18:28:15,44.7149,21.1711,55.81,78,100,13.22,overcast clouds
100,Cockburn Town,TC,2022-12-09 18:28:15,21.4612,-71.1419,77.81,62,2,7.34,clear sky
101,Gravdal,NO,2022-12-09 18:28:16,68.1214,13.5031,28.29,54,20,9.22,few clouds
102,Bonthe,SL,2022-12-09 18:28:16,7.5264,-12.505,82.67,71,30,9.37,scattered clouds
103,Waingapu,ID,2022-12-09 18:28:17,-9.6567,120.2641,79.07,79,93,3.15,overcast clouds
104,Matay,EG,2022-12-09 18:28:17,28.419,30.7792,67.84,25,0,5.17,clear sky
105,Hermanus,ZA,2022-12-09 18:28:17,-34.4187,19.2345,68.81,78,1,13.51,clear sky
106,Banjar,ID,2022-12-09 18:28:18,-8.19,114.9675,75.97,83,85,4.79,overcast clouds
107,Talnakh,RU,2022-12-09 18:28:18,69.4865,88.3972,-20.18,100,85,2.68,overcast clouds
108,Urengoy,RU,2022-12-09 18:28:19,65.9667,78.3667,-2.18,95,100,15.57,overcast clouds
109,Santa Maria Da Vitoria,BR,2022-12-09 18:28:19,-13.3947,-44.1886,81.41,78,66,6.44,moderate rain
110,Vardo,NO,2022-12-09 18:28:20,70.3705,31.1107,32.29,61,100,23.4,light snow
111,Butaritari,KI,2022-12-09 18:28:20,3.0707,172.7902,81.52,79,63,19.46,broken clouds
112,Durban,ZA,2022-12-09 18:26:26,-29.8579,31.0292,76.93,91,27,5.01,scattered clouds
113,Turukhansk,RU,2022-12-09 18:18:51,65.8167,87.9833,0.73,97,100,5.46,overcast clouds
114,Lakselv,NO,2022-12-09 18:28:21,70.0513,24.9718,22.82,63,75,1.14,broken clouds
115,Takoradi,GH,2022-12-09 18:28:21,4.8845,-1.7554,81.1,77,1,8.97,clear sky
116,Fort Nelson,CA,2022-12-09 18:28:22,58.8053,-122.7002,-15.21,76,20,0.0,few clouds
117,Chokurdakh,RU,2022-12-09 18:23:58,70.6333,147.9167,-17.54,97,100,6.13,overcast clouds
118,Yulara,AU,2022-12-09 18:28:23,-25.2406,130.9889,87.01,27,79,4.45,broken clouds
119,Aksu,CN,2022-12-09 18:28:23,41.1231,80.2644,28.13,37,90,1.83,overcast clouds
120,Vilyuysk,RU,2022-12-09 18:28:24,63.7553,121.6247,-17.16,99,100,1.45,overcast clouds
121,Unai,BR,2022-12-09 18:28:24,-16.3575,-46.9061,83.37,60,57,1.95,broken clouds
122,Miles City,US,2022-12-09 18:28:24,46.4083,-105.8406,9.57,92,0,0.0,clear sky
123,Bartica,GY,2022-12-09 18:28:25,6.4,-58.6167,77.32,89,52,4.27,broken clouds
124,Esperance,AU,2022-12-09 18:28:25,-33.8667,121.9,60.22,78,19,9.06,few clouds
125,Tasiilaq,GL,2022-12-09 18:28:26,65.6145,-37.6368,21.36,60,6,7.38,clear sky
126,Hamilton,US,2022-12-09 18:28:23,39.1834,-84.5333,52.88,72,100,12.66,haze
127,Carnarvon,AU,2022-12-09 18:28:27,-24.8667,113.6333,67.48,69,0,20.24,clear sky
128,Labuan,MY,2022-12-09 18:28:27,5.2767,115.2417,77.36,94,20,0.0,few clouds
129,Tuatapere,NZ,2022-12-09 18:28:27,-46.1333,167.6833,52.12,95,66,3.94,broken clouds
130,Marsh Harbour,BS,2022-12-09 18:20:17,26.5412,-77.0636,75.88,72,2,10.58,clear sky
131,Ust-Ishim,RU,2022-12-09 18:28:28,57.6935,71.1665,2.95,98,87,4.21,overcast clouds
132,Usinsk,RU,2022-12-09 18:28:28,65.9939,57.5281,-10.91,99,47,9.86,scattered clouds
133,Shubarkuduk,KZ,2022-12-09 18:28:29,49.1447,56.4872,3.67,89,4,3.22,clear sky
134,Tanout,NE,2022-12-09 18:28:29,14.9709,8.8879,72.16,11,0,12.08,clear sky
135,Dinguiraye,GN,2022-12-09 18:28:30,11.3,-10.7167,83.66,21,0,2.64,clear sky
136,Ingham,US,2022-12-09 18:28:30,42.6,-84.3833,36.16,75,100,12.66,overcast clouds
137,Bengkulu,ID,2022-12-09 18:28:31,-3.8004,102.2655,74.82,88,100,4.61,overcast clouds
138,San Jeronimo,PE,2022-12-09 18:28:31,-11.9472,-75.2829,59.95,56,92,5.48,overcast clouds
139,Huarmey,PE,2022-12-09 18:29:32,-10.0681,-78.1522,72.01,72,83,10.47,broken clouds
140,Minab,IR,2022-12-09 18:29:32,27.1467,57.0801,72.57,34,64,14.12,broken clouds
141,Prince George,CA,2022-12-09 18:29:01,53.9166,-122.753,25.63,82,0,11.5,clear sky
142,Aklavik,CA,2022-12-09 18:29:33,68.2191,-135.0107,-14.8,70,75,5.75,broken clouds
143,Dudinka,RU,2022-12-09 18:29:33,69.4058,86.1778,-17.61,94,96,8.1,overcast clouds
144,Boa Vista,BR,2022-12-09 18:27:05,2.8197,-60.6733,87.78,55,40,8.05,scattered clouds
145,Kieta,PG,2022-12-09 18:29:34,-6.2167,155.6333,78.01,85,78,2.8,broken clouds
146,Erenhot,CN,2022-12-09 18:29:34,43.6475,111.9767,8.42,62,0,9.48,clear sky
147,Atar,MR,2022-12-09 18:29:34,20.5169,-13.0499,89.74,23,24,9.31,few clouds
148,Port Macquarie,AU,2022-12-09 18:29:35,-31.4333,152.9167,58.89,82,100,3.96,overcast clouds
149,Tegh,AM,2022-12-09 18:29:35,39.5579,46.4772,28.67,91,90,1.12,overcast clouds
150,Sept-Iles,CA,2022-12-09 18:29:33,50.2001,-66.3821,25.32,61,20,13.8,few clouds
151,Naze,JP,2022-12-09 18:29:36,28.3667,129.4833,63.52,81,97,23.26,light rain
152,Rincon,US,2022-12-09 18:29:29,32.296,-81.2354,71.56,68,75,8.05,broken clouds
153,Tiksi,RU,2022-12-09 18:29:36,71.6872,128.8694,-25.46,100,100,3.98,overcast clouds
154,Sisimiut,GL,2022-12-09 18:29:37,66.9395,-53.6735,30.47,70,100,14.99,overcast clouds
155,Llaillay,CL,2022-12-09 18:29:37,-32.85,-70.9667,93.25,30,47,8.48,scattered clouds
156,Spring Hill,US,2022-12-09 18:29:38,28.4769,-82.5255,80.91,65,40,5.75,scattered clouds
157,Bangassou,CF,2022-12-09 18:29:38,4.7413,22.8184,75.99,64,43,4.14,scattered clouds
158,Gubskaya,RU,2022-12-09 18:29:39,44.3164,40.6358,44.91,67,100,4.16,overcast clouds
159,Beryslav,UA,2022-12-09 18:29:39,46.8415,33.4284,47.59,96,96,8.79,overcast clouds
160,Ilulissat,GL,2022-12-09 18:29:39,69.2167,-51.1,39.22,45,75,13.8,broken clouds
161,Lieksa,FI,2022-12-09 18:29:40,63.3167,30.0167,22.82,95,93,7.72,overcast clouds
162,Druzhba,UA,2022-12-09 18:29:40,52.0428,33.9453,32.83,99,100,4.54,overcast clouds
163,Norman Wells,CA,2022-12-09 18:29:41,65.282,-126.8329,-12.96,70,100,4.61,light snow
164,Seoul,KR,2022-12-09 18:29:41,37.5683,126.9778,33.24,86,0,3.44,clear sky
165,Lagoa,PT,2022-12-09 18:21:25,39.05,-27.9833,59.61,88,100,31.21,moderate rain
166,Tres Arroyos,AR,2022-12-09 18:29:42,-38.3739,-60.2798,89.22,17,56,13.38,broken clouds
167,Beloha,MG,2022-12-09 18:29:42,-25.1667,45.05,75.18,79,25,19.86,scattered clouds
168,Bathurst,AU,2022-12-09 18:29:43,-33.4166,149.5806,49.82,84,71,6.8,broken clouds
169,Lac Du Bonnet,CA,2022-12-09 18:29:43,50.2536,-96.0612,21.45,83,59,9.19,broken clouds
170,Arkhangelskoye,RU,2022-12-09 18:29:44,55.8549,35.3287,24.78,96,100,5.59,overcast clouds
171,Dalvik,IS,2022-12-09 18:29:44,65.9702,-18.5286,31.93,86,99,7.11,light snow
172,Pisco,PE,2022-12-09 18:29:45,-13.7,-76.2167,77.05,57,0,16.11,clear sky
173,Kuressaare,EE,2022-12-09 18:29:45,58.2481,22.5039,33.75,91,75,13.8,broken clouds
174,Muros,ES,2022-12-09 18:29:46,42.7762,-9.0603,53.1,80,64,16.31,broken clouds
175,Tsirguliina,EE,2022-12-09 18:29:46,57.864,26.1947,9.23,100,62,2.93,broken clouds
176,Asau,RO,2022-12-09 18:29:47,46.4333,26.4,38.32,78,100,4.05,overcast clouds
177,Milkovo,RU,2022-12-09 18:29:47,54.7167,158.6167,-12.59,97,40,3.62,scattered clouds
178,Burnie,AU,2022-12-09 18:29:47,-41.0667,145.9167,49.96,85,76,9.71,broken clouds
179,Georgiyevka,KZ,2022-12-09 18:29:48,43.0369,74.7114,3.24,85,75,0.0,mist
180,Bogale,MM,2022-12-09 18:29:48,16.2833,95.4,75.78,86,46,4.23,scattered clouds
181,Touros,BR,2022-12-09 18:29:49,-5.1989,-35.4608,84.0,65,22,13.53,few clouds
182,Plettenberg Bay,ZA,2022-12-09 18:29:49,-34.0527,23.3716,68.65,87,92,4.61,light rain
183,Faya,SA,2022-12-09 18:29:50,18.3851,42.4509,59.52,81,20,4.41,few clouds
184,Kruisfontein,ZA,2022-12-09 18:29:50,-34.0033,24.7314,73.89,58,76,17.6,broken clouds
185,Belyy Yar,RU,2022-12-09 18:20:09,53.6039,91.3903,-17.14,100,9,0.0,fog
186,Tahoua,NE,2022-12-09 18:29:51,14.8888,5.2692,76.69,13,0,10.22,clear sky
187,Ust-Kuyga,RU,2022-12-09 18:29:51,70.0167,135.6,-42.9,100,78,3.13,broken clouds
188,Masuda,JP,2022-12-09 18:30:51,34.6667,131.85,47.89,73,86,4.23,overcast clouds
189,Te Anau,NZ,2022-12-09 18:30:52,-45.4167,167.7167,51.33,93,99,1.68,overcast clouds
