City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
400,Tecoanapa,MX,82.51,clear sky,16.5167,-98.75,No hotel found
401,Maceio,BR,87.24,scattered clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
405,Mattru,SL,79.68,broken clouds,7.6244,-11.8332,No hotel found
407,Mount Isa,AU,82.17,clear sky,-20.7333,139.5,Ibis Styles
414,Itarema,BR,84.33,broken clouds,-2.9248,-39.9167,Pousada Oásis
415,Tutoia,BR,83.46,scattered clouds,-2.7619,-42.2744,Pousada San Vicente
417,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,Marfil del Amazonas
423,Lambarene,GA,77.43,moderate rain,-0.7001,10.2406,Motel Obama
424,Sinnamary,GF,81.23,overcast clouds,5.3833,-52.95,Hôtel du fleuve
426,Kirakira,SB,79.86,overcast clouds,-10.4544,161.9205,No hotel found
432,Omboue,GA,78.39,light rain,-1.5746,9.2618,Georges Faustin Aurat
434,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Page 63 hostel
436,Villarrica,PY,85.84,overcast clouds,-25.75,-56.4333,No hotel found
437,Ampanihy,MG,77.4,clear sky,-24.7,44.75,Hotel restaurant Angora
438,Carutapera,BR,85.08,few clouds,-1.195,-46.02,No hotel found
446,Kavaratti,IN,81.46,overcast clouds,10.5669,72.642,No hotel found
450,Port Blair,IN,75.24,mist,11.6667,92.75,Andaman Ocean Breeze
460,Mackay,AU,78.67,broken clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
468,Acapulco,MX,87.62,clear sky,16.8634,-99.8901,Hotel del Valle
469,Palauig,PH,78.58,overcast clouds,15.435,119.9045,No hotel found
470,Davila,PH,76.98,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
471,Laje,BR,89.73,overcast clouds,-10.1833,-40.9667,No hotel found
473,Madang,PG,76.23,overcast clouds,-5.2246,145.7966,Madang Star International
478,Riacho De Santana,BR,76.87,overcast clouds,-13.6092,-42.9389,No hotel found
480,Arlit,NE,75.33,clear sky,18.7369,7.3853,No hotel found
481,Gamba,GA,76.93,light rain,-2.65,10.0,No hotel found
482,Turbana,CO,86.81,few clouds,10.2717,-75.4422,No hotel found
483,Fernandina Beach,US,83.01,clear sky,30.6697,-81.4626,Florida House Inn
484,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,Turtle Nest Inn
485,Zabid,YE,76.71,clear sky,14.1951,43.3152,No hotel found
487,Caucel,MX,86.07,scattered clouds,21.0167,-89.7167,No hotel found
493,Diebougou,BF,84.47,clear sky,10.9667,-3.25,Relais
496,Inirida,CO,83.88,overcast clouds,3.8653,-67.9239,Residencias El Turista del Guainia
499,Taoudenni,ML,83.01,clear sky,22.6783,-3.9836,No hotel found
501,Doba,TD,76.57,clear sky,8.65,16.85,No hotel found
505,Tautira,PF,78.62,scattered clouds,-17.7333,-149.15,No hotel found
513,Kampot,KH,77.05,overcast clouds,10.6167,104.1833,Sambor Sambat Guesthouse
521,West Bay,KY,84.27,few clouds,19.3667,-81.4167,Bonnie's Arch
523,Gunjur,GM,79.11,clear sky,13.2019,-16.7339,Footsteps Eco Lodge
526,Pucallpa,PE,87.84,broken clouds,-8.3791,-74.5539,Hospedaje Cristofer
528,Namatanai,PG,78.4,light rain,-3.6667,152.4333,Namatanai Hotel
532,Sechura,PE,78.39,overcast clouds,-5.5569,-80.8222,Hospedaje Claritza
534,Dicabisagan,PH,76.75,overcast clouds,17.0818,122.4157,No hotel found
535,Qandala,SO,75.83,overcast clouds,11.472,49.8728,No hotel found
539,Quelimane,MZ,82.35,few clouds,-17.8786,36.8883,Mabassa
545,Mascota,MX,82.17,scattered clouds,20.5167,-104.7833,Posada Mascota
547,Nacala,MZ,76.21,clear sky,-14.5428,40.6728,Indico Apart Hotel 2
548,Gurupi,BR,79.7,light rain,-11.7292,-49.0686,Via Norte
551,Kabo,CF,77.43,scattered clouds,7.6994,18.629,No hotel found
555,Pangai,TO,78.91,moderate rain,-19.8,-174.35,Billy's Place
556,Bago,MM,76.84,clear sky,17.3367,96.4797,Emperor Hotel
